start_utc,value
2026-01-17T13:00:00+00:00,236
2026-01-17T13:30:00+00:00,241
2026-01-17T14:00:00+00:00,238
2026-01-17T14:30:00+00:00,253
2026-01-17T15:00:00+00:00,249
2026-01-17T15:30:00+00:00,235
2026-01-17T16:00:00+00:00,231
2026-01-17T16:30:00+00:00,242
2026-01-17T17:00:00+00:00,258
2026-01-17T17:30:00+00:00,236
2026-01-17T18:00:00+00:00,227
2026-01-17T18:30:00+00:00,222
2026-01-17T19:00:00+00:00,205
2026-01-17T19:30:00+00:00,213
2026-01-17T20:00:00+00:00,191
2026-01-17T20:30:00+00:00,199
2026-01-17T21:00:00+00:00,155
2026-01-17T21:30:00+00:00,176
2026-01-17T22:00:00+00:00,152
2026-01-17T22:30:00+00:00,125
2026-01-17T23:00:00+00:00,145
2026-01-17T23:30:00+00:00,122
2026-01-18T00:00:00+00:00,88
2026-01-18T00:30:00+00:00,95
2026-01-18T01:00:00+00:00,100
2026-01-18T01:30:00+00:00,83
2026-01-18T02:00:00+00:00,91
2026-01-18T02:30:00+00:00,86
2026-01-18T03:00:00+00:00,81
2026-01-18T03:30:00+00:00,75
2026-01-18T04:00:00+00:00,86
2026-01-18T04:30:00+00:00,79
2026-01-18T05:00:00+00:00,78
2026-01-18T05:30:00+00:00,52
2026-01-18T06:00:00+00:00,15
2026-01-18T06:30:00+00:00,104
2026-01-18T07:00:00+00:00,93
2026-01-18T07:30:00+00:00,100
2026-01-18T08:00:00+00:00,138
2026-01-18T08:30:00+00:00,104
2026-01-18T09:00:00+00:00,142
2026-01-18T09:30:00+00:00,177
2026-01-18T10:00:00+00:00,149
2026-01-18T10:30:00+00:00,180
2026-01-18T11:00:00+00:00,206
2026-01-18T11:30:00+00:00,193
2026-01-18T12:00:00+00:00,212
2026-01-18T12:30:00+00:00,226
2026-01-18T13:00:00+00:00,213
2026-01-18T13:30:00+00:00,230
2026-01-18T14:00:00+00:00,241
2026-01-18T14:30:00+00:00,253
2026-01-18T15:00:00+00:00,247
2026-01-18T15:30:00+00:00,247
2026-01-18T16:00:00+00:00,238
2026-01-18T16:30:00+00:00,245
2026-01-18T17:00:00+00:00,258
2026-01-18T17:30:00+00:00,244
2026-01-18T18:00:00+00:00,228
2026-01-18T18:30:00+00:00,221
2026-01-18T19:00:00+00:00,256
2026-01-18T19:30:00+00:00,228
2026-01-18T20:00:00+00:00,213
2026-01-18T20:30:00+00:00,163
2026-01-18T21:00:00+00:00,191
2026-01-18T21:30:00+00:00,178
2026-01-18T22:00:00+00:00,180
2026-01-18T22:30:00+00:00,153
2026-01-18T23:00:00+00:00,136
2026-01-18T23:30:00+00:00,132
